score_type,regime,tier,singular_index,mean_energy_fraction,n_samples
Score 2,stealthy,noisy,5,0.008820957504212856,339
Score 2,stealthy,noisy,6,0.14098434150218964,339
Score 2,stealthy,noisy,7,0.017620382830500603,339
Score 2,stealthy,noisy,8,0.002670513466000557,339
Score 2,stealthy,noisy,9,0.05440385639667511,339
Score 2,stealthy,noisy,10,0.09161864966154099,339
Score 2,stealthy,noisy,11,0.00901638064533472,339
Score 2,stealthy,noisy,12,0.04716827720403671,339
Score 2,stealthy,noisy,13,0.0027624776121228933,339
Score 2,stealthy,noisy,14,0.006082567851990461,339
Score 2,stealthy,noisy,15,0.000826875795610249,339
Score 2,stealthy,noisy,16,0.0017514188075438142,339
Score 2,stealthy,noisy,17,0.0011615545954555273,339
Score 2,stealthy,noisy,18,0.0004553846665658057,339
Score 2,stealthy,noisy,19,0.0004708261985797435,339
Score 2,stealthy,noisy,20,0.001943579874932766,339
Score 2,stealthy,noisy,21,0.0005765363457612693,339
Score 2,stealthy,noisy,22,0.0012660120846703649,339
Score 2,stealthy,noisy,23,0.014268775470554829,339
Score 2,stealthy,noisy,24,0.002942534862086177,339
Score 2,stealthy,noisy,25,0.011909586377441883,339
Score 2,stealthy,noisy,26,0.0008607741328887641,339
Score 2,stealthy,noisy,27,0.0011599438730627298,339
Score 2,stealthy,noisy,28,0.00061403913423419,339
Score 2,stealthy,noisy,29,0.00588303804397583,339
Score 2,stealthy,noisy,30,0.00023463365505449474,339
Score 2,stealthy,noisy,31,0.00043283129343762994,339
Score 2,stealthy,noisy,32,0.0017035679193213582,339
Score 2,stealthy,noisy,33,0.002196909859776497,339
Score 2,stealthy,noisy,34,0.002133887493982911,339
Score 2,stealthy,noisy,35,0.0005173503304831684,339
Score 2,stealthy,noisy,36,0.0009906123159453273,339
Score 2,stealthy,noisy,37,0.0030535319820046425,339
Score 2,stealthy,noisy,38,0.0034510295372456312,339
Score 2,stealthy,noisy,39,0.0003746136208064854,339
Score 2,stealthy,noisy,40,0.0008578922715969384,339
Score 2,stealthy,noisy,41,0.00047904401435516775,339
Score 2,stealthy,noisy,42,0.0006186694954521954,339
Score 2,stealthy,noisy,43,0.0005540278507396579,339
Score 2,stealthy,noisy,44,0.00014242882025428116,339
Score 2,stealthy,noisy,45,0.0007174577913247049,339
Score 2,stealthy,noisy,46,0.00019518019689712673,339
Score 2,stealthy,noisy,47,0.0028198969084769487,339
Score 2,stealthy,noisy,48,0.0005133677623234689,339
Score 2,stealthy,noisy,49,0.0030429100152105093,339
Score 2,stealthy,noisy,50,0.004550154320895672,339
Score 2,stealthy,noisy,51,0.001381180714815855,339
Score 2,stealthy,noisy,52,0.018013352528214455,339
Score 2,stealthy,noisy,53,0.000206547585548833,339
Score 2,stealthy,noisy,54,0.012982873246073723,339
Score 2,stealthy,noisy,55,0.07962365448474884,339
Score 2,stealthy,noisy,56,1.9928396795876324e-05,339
Score 2,stealthy,noisy,57,0.0013363633770495653,339
